Index,Pitch (Hz)
0,1950.7408
1,2237.5793
2,738.08563
3,2468.7173
4,2333.8164
5,1349.1823
6,959.0496
7,1046.5083
8,882.15356
9,1666.1919
10,2640.4888
11,2389.1035
12,2546.285
13,3849.0742
14,3989.0393
15,3980.35
16,3640.1797
17,3746.123
18,2301.688
19,3801.2104
20,2711.5515
21,2255.403
22,3068.2285
23,3746.5637
24,2909.0562
25,2099.3516
26,2621.1313
27,3387.5752
28,1504.7274
29,3564.4495
30,3907.281
31,2502.4
32,2661.685
33,3168.6914
34,3463.2188
35,2878.271
36,1849.6477
37,1996.0535
38,2599.4575
39,2390.19
40,2396.4993
41,3585.661
42,1716.355
43,3472.753
44,2244.124
45,3540.8154
46,2193.4211
47,3663.87
48,3710.5518
49,3139.2568
50,3960.9023
51,3693.7673
52,3810.5469
53,3914.165
54,3781.4355
55,3763.8533
56,2406.444
57,1090.777
58,2725.6277
59,3958.001
60,3582.2542
61,3545.56
62,3840.833
63,3947.1362
64,3808.9717
65,3376.5874
66,1929.7744
67,2886.899
68,2743.2468
69,2437.9783
70,3058.0625
71,3797.1582
72,3929.9536
73,3318.5085
74,3800.5195
75,3364.3655
76,1728.9052
77,3562.2188
78,3872.8513
79,3200.2966
80,3770.0588
81,2229.4353
82,3231.2773
83,2755.2803
84,3735.066
85,3881.6177
86,3953.8716
87,3976.0679
88,3908.696
89,3902.733
90,3314.0188
91,3919.1729
92,3015.2563
93,3683.4875
94,3344.1013
95,2866.913
96,3816.9531
97,3879.7668
98,3967.7393
99,3905.5806
100,3921.725
101,1653.8143
102,3710.4253
103,3268.7998
104,2022.0076
105,3868.475
106,3086.9688
107,3480.0552
108,3981.0996
109,3751.2996
110,2777.6663
111,3215.3838
112,3675.7231
113,3800.772
114,3194.3027
115,2486.2114
116,2623.0435
117,1522.8145
118,2320.873
119,2658.851
120,2715.8901
121,3914.0825
122,3434.773
123,3901.3428
124,935.13196
125,1788.6553
126,3082.0757
127,3915.0957
128,2251.9668
129,3617.3386
130,3442.2478
131,3406.8157
132,1759.2583
133,1932.2905
134,3909.129
135,3336.0972
136,3651.8496
137,2226.1396
138,2599.2717
139,3268.5789
140,2291.754
141,2161.436
142,3881.9204
143,3219.2798
144,3881.5073
145,3959.976
146,2273.3086
147,1815.8828
148,3370.8232
149,2305.2563
150,3786.2869
151,3223.9695
152,3835.686
153,3543.1045
154,3940.0356
155,2194.8281
156,2257.951
157,3366.4385
158,1682.2578
159,2228.5688
160,3885.623
161,2871.7646
162,3366.1096
163,2511.8623
164,2415.1768
165,3142.6133
166,3932.538
167,3981.668
168,3943.3516
169,3568.1301
170,3688.0525
171,2211.4795
172,2710.8894
173,957.98413
174,2452.481
175,3902.3677
176,3953.0215
177,3872.1963
178,3950.3945
179,3505.0518
180,3441.3865
181,3288.8286
182,3242.6309
183,3124.2695
184,2675.9253
185,2599.5117
186,2389.524
187,3511.4365
188,2609.4194
189,3408.6777
190,2961.9124
191,3750.8394
192,3704.8633
193,2513.1523
194,2905.623
195,1365.7162
196,3179.9338
197,2747.871
198,2657.9058
199,2657.942
200,2747.7214
201,3979.713
202,3910.4453
203,3393.4355
204,3782.6318
205,3907.836
206,3606.5798
207,1490.0745
208,2069.019
209,3204.1465
210,3190.833
211,3094.1487
212,2999.958
213,2793.9534
214,3052.7458
215,2506.788
216,3392.874
217,3381.2285
218,3809.1606
219,1852.5842
220,2513.8623
221,3057.1504
222,3691.0166
223,3811.3633
224,3724.0022
225,3779.4526
226,3210.273
227,3048.6191
228,3769.4653
229,2542.5403
230,3640.5723
231,3262.749
232,3910.1787
233,3964.7822
234,3970.5576
235,2726.3313
236,2739.862
237,3485.5518
238,3467.61
239,3550.395
240,3817.2534
241,3967.2612
242,2838.2278
243,2042.5007
244,3453.1763
245,3987.6968
246,3677.1128
247,3563.7896
248,3549.53
249,3499.7212
250,3877.9697
251,3854.7112
252,3356.8218
253,2671.859
254,3213.2124
255,2976.5654
256,2958.141
257,2990.7446
258,2556.65
259,1570.69
260,3394.8376
261,2710.6008
262,2771.9976
263,3028.8716
264,2345.7188
265,3477.7805
266,3958.0503
267,2617.979
268,1758.1494
269,2033.7397
270,3081.7114
271,3087.1582
272,3955.7622
273,3509.7754
274,3792.2983
275,3196.024
276,3918.2358
277,3735.5142
278,2565.9785
279,3853.5342
280,3903.848
281,2513.6016
282,882.9547
283,3902.7573
284,2226.1494
285,3654.781
286,3066.7227
287,1926.7157
288,2854.0166
289,3684.0012
290,3899.2998
291,3932.4692
292,3187.4412
293,2688.7786
294,3915.5444
295,3775.9966
296,3574.353
297,3402.4277
298,3109.4922
299,3237.1763
300,3886.5732
301,3015.9375
302,2647.7534
303,3008.9468
304,1677.244
305,2805.6724
306,3938.5247
307,3142.8423
308,2241.1997
309,942.8018
310,3711.782
311,3749.031
312,2654.023
313,2441.8562
314,2946.9753
315,2132.702
316,1242.3223
317,2300.978
318,2645.738
319,2584.1133
320,2756.06
321,3806.9294
322,3778.1792
323,3324.4307
324,2270.1272
325,3354.7173
326,3421.0981
327,3814.6428
328,3529.0525
329,2944.4158
330,3287.3652
331,3174.177
332,3706.9277
333,2823.8057
334,2897.1565
335,2528.7415
336,3112.0376
337,989.464
338,2048.5984
339,3523.4333
340,3812.4907
341,3247.745
342,2608.6523
343,2196.1614
344,3770.9414
345,3283.3047
346,3863.1172
347,3328.3176
348,3520.4304
349,2993.7231
350,2452.5215
351,1849.4265
352,3653.1475
353,3830.5837
354,3835.2227
355,3968.672
356,2624.5027
357,2100.917
358,2809.2866
359,3872.9814
360,3310.0908
361,3286.0752
362,2354.0388
363,2469.6921
364,3357.8047
365,3016.4458
366,3161.3906
367,2714.8364
368,3229.1147
369,2137.021
370,3595.184
371,3451.8713
372,2570.4373
373,3883.4734
374,3827.8564
375,2753.2173
376,3848.2559
377,3402.4973
378,1167.3943
379,2260.9888
380,3911.8623
381,3283.9834
382,2830.3247
383,3830.775
384,3104.2722
385,3927.9707
386,3191.5771
387,2089.6694
388,3818.538
389,3958.7278
390,3930.0364
391,3858.5576
392,3935.0786
393,3714.535
394,3623.4512
395,2037.7156
396,3174.1172
397,3951.0388
398,2338.7778
399,2081.7144
400,3866.4082
401,3928.1895
402,3848.728
403,1929.4075
404,1979.5007
405,2909.7961
406,3130.7083
407,3857.203
408,3355.6792
409,2266.605
410,3688.2378
411,2903.4602
412,1951.887
413,2789.4712
414,2704.523
415,3854.728
416,3716.2852
417,3591.586
418,3528.2622
419,3522.3105
420,2634.4468
421,3023.497
422,3677.505
423,3905.767
424,3767.2383
425,2426.084
426,3394.89
427,3947.7798
428,3865.4724
429,2328.437
430,3819.7627
431,2591.0461
432,2661.9243
433,2844.4695
434,2447.0923
435,3046.7349
436,3193.9639
437,3722.9556
438,3800.0166
439,3392.5886
440,2111.367
441,3931.1235
442,3300.8203
443,3173.0234
444,2573.4155
445,2772.641
446,2751.0962
447,1788.893
448,3065.1758
449,3841.648
450,3728.0928
451,3382.8687
452,2853.963
453,2480.0967
454,3961.3533
455,3083.1357
456,3181.892
457,2423.8728
458,2016.7799
459,2764.2378
460,3362.6523
461,3430.9255
462,2566.3435
463,1332.0286
464,2483.9126
465,3164.297
466,2047.2744
467,2811.7202
468,3886.5288
469,3467.1218
470,3733.4932
471,1724.4286
472,3474.498
473,3238.0312
474,3006.9316
475,2749.8562
476,2120.6147
477,3065.3052
478,2987.0217
479,2432.9656
480,2549.154
481,3912.391
482,2511.7793
483,1754.5073
484,1807.6443
485,2468.4917
486,2628.393
487,2823.394
488,3224.3071
489,3932.395
490,2611.457
491,3936.323
492,3591.0432
493,2495.7993
494,3566.5933
495,3788.5183
496,3231.979
497,3508.5142
498,2909.6003
499,2771.48
500,2645.5276
501,1696.1273
502,2204.7617
503,2438.9692
504,2386.7847
505,2341.256
506,2650.271
507,3109.506
508,2054.293
509,2666.0742
510,3976.9556
511,3994.6606
512,2536.5325
513,2664.45
514,3418.0425
515,3800.277
516,3962.159
517,3548.1284
518,3053.4897
519,3948.731
520,3989.375
521,3429.685
522,3207.9705
523,3191.6824
524,1869.7002
525,878.5107
526,2239.9001
527,3220.5933
528,3638.6133
529,3935.1064
530,3666.6206
531,2260.1292
532,3123.0662
533,2932.584
534,3464.5566
535,2940.7227
536,2916.3672
537,3134.4473
538,1987.9763
539,1905.406
540,3206.3457
541,3984.3037
542,3893.3843
543,1905.5886
544,3236.555
545,3050.375
546,2274.7695
547,3760.3313
548,3944.9248
549,3797.8276
550,3871.0718
551,3953.4583
552,3290.773
553,2652.8892
554,2437.761
555,2573.989
556,3919.811
